AccX,AccY,AccZ,Roll,Pitch,Yaw,MagX,MagY,MagZ,MagH,Force
333.97,3201.36,4771.29,73.81,-2.73,116.05,51,100,-222,-81.19,0.0
1449.97,2728.36,4897.29,62.48,-25.70,121.33,49,85,-187,-82.47,0.0
1373.97,2814.36,4612.29,63.34,-26.97,123.21,52,86,-186,-81.78,0.0
1228.97,2606.36,5047.29,50.75,-24.12,132.21,51,85,-184,-83.42,0.0
-2536.03,3684.36,5020.29,78.99,28.53,130.47,59,141,-311,-82.62,0.0
-5042.03,3481.36,6289.29,81.43,39.41,122.15,27,205,-393,-77.98,0.0
-7472.03,2423.36,8396.29,54.89,33.85,103.57,-49,274,-449,-99.87,0.0
-8344.03,1366.36,10169.29,33.46,29.36,91.64,-132,328,-465,-115.94,0.0
-8844.03,-56.64,11440.29,14.44,20.00,80.65,-222,367,-457,-130.31,0.0
-6919.03,-3362.64,15325.29,18.87,-6.38,64.91,-424,332,-459,-137.62,0.0
-7163.03,-3997.64,16679.29,27.95,-14.42,54.86,-487,285,-455,-137.92,0.0
-4880.03,-4012.64,17971.29,48.50,-18.95,43.93,-541,207,-457,-140.13,0.0
-3727.03,-4299.64,19505.29,65.22,-15.05,37.47,-565,137,-447,-144.49,0.0
-3896.03,-3939.64,18922.29,60.04,-5.45,39.02,-560,136,-454,-145.62,0.0
-4654.03,-4084.64,18795.29,53.08,10.74,44.89,-547,146,-467,-146.62,0.0
-5666.03,-3675.64,17792.29,46.83,24.94,58.41,-517,179,-486,-144.88,0.0
-7342.03,-2952.64,15961.29,49.84,46.16,81.77,-449,222,-516,-136.09,0.0
-8898.03,-1782.64,13633.29,60.90,67.67,113.29,-350,261,-537,-116.56,0.0
-8281.03,-712.64,12534.29,63.65,82.03,127.88,-275,291,-516,-98.39,0.0
-8919.03,-424.64,11521.29,65.30,97.68,149.62,-223,297,-501,-86.51,0.0
-8302.03,-88.64,10973.29,66.92,103.97,162.63,-197,302,-488,-83.74,0.0
-8114.03,2739.36,7382.29,97.88,110.90,-164.60,-137,310,-463,-62.02,12.0426328524
